textID,text,selected_text,sentiment
7aef27c516,Doctor Who has finished,Doctor Who has finished,neutral
415660cb0e, you should.,you should.,neutral
4fdc228bbe,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight","back at school again. almost weekend. oh wait, i gotta work from eight to four tonight",neutral
ea91e5a7ab,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,My computer is SO slooowww this morning.  I think it`s a sign that I should go home and play in my yard.,neutral
8f2022b87f,On my way to dazzle bar!!,On my way to dazzle bar!!,neutral
cdcaac066e,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",he couldn`t do it should have cost his part.,neutral
2c993b420a," they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets",e terrible,negative
cfc7dbb6ee, aww hope uve hada good day  xxxxx,w hope uve hada good day,positive
0682174ce4, o iight we gonna miss you tonight,miss,negative
eb6f587edb,Can`t I just be a stay at home mom already,Can`t I just be a stay at home mom already,neutral
67f825d150," hey kellie,how are u?I FEEL HORRIBLE!","hey kellie,how are u?I FEEL HORRIBLE!",negative
f573cc7b8b,I thought when u go #2 your tummy is supposed to feel better not worse,I thought when u go #2 your tummy is supposed to feel better not worse,neutral
0a501515b9,yeh. merch shopping to look fab.,fab.,positive
3fcb1ee230," man, 4 months until we get to see what those drunk tweets were all about","man, 4 months until we get to see what those drunk tweets were all about",neutral
9f6f40324c, true but if I don`t put a case on it I`ll break it in a week.  don`t worry ill find a way to make it work.,true but if I don`t put a case on it I`ll break it in a week.  don`t worry ill find a way to make it work.,neutral
0336a8fb49,  Joe and I loveee you.,Joe and I loveee you.,positive
d54601d78f, lets go home,lets go home,neutral
dbb504cc4f,is STILL sick. But still loves revenge and the possibility of more revenge to come,is STILL sick. But still loves revenge and the possibility of more revenge to come,neutral
d9059d72a3,"layenn down,uughh dunt feel well","layenn down,uughh dunt feel well",negative
97d0fd65e6,Four hour baseball game. At least the Crew spent much of it making the Cubbies look bad.,bad.,negative
5a6a55d5db,Watching the CAVS!!!!!,Watching the CAVS!!!!!,neutral
cd73258878,time to bed now!!,time to bed now!!,neutral
9520eba0f0, you will never be the same...,you will never be the same...,neutral
079e4e3472,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,NOT THE SECRET NAMEREBECCA PLEASE,negative
9a7b1095d3,"Star Trek is awesome!! Kirk is hot, Spock is cool. It`s fun, cool and sexy. Definitely worth seeing. I saw it at the Cinerama.",Star Trek is awesome!!,positive
d188052326, so jealous,jealous,negative
436ac24bc4, and that prob wont happen....,and that prob wont happen....,neutral
76b266450c,"_you Ah! Haha that`s exciting. If I ever come to Australia we are definitely gonna have a movie night, FYI",exciting.,positive
