category,run_name,model,setting,difficulty,task_count,ABQ,PASQ,UASQ,runtime,result_path,reformat_path,eval_path,reliability,presentation_tier,note
paper_reference,paper_qwen25_72b_full,Qwen2.5-72B,paper baseline / reformat,full,257,81.71%,87.27%,85.09%,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_paper_qwen25_72b_full.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_paper_qwen25_72b_full_evaluation_analysis.json,high,direct_report,论文/参考 baseline；Q-Acc 在本表统一记为 ABQ。
paper_reference,paper_qwen25_72b_easy,Qwen2.5-72B,paper baseline / reformat,easy,82,95.12%,96.34%,96.04%,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_paper_qwen25_72b_easy.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_paper_qwen25_72b_easy_evaluation_analysis.json,high,direct_report,论文/参考 baseline；Q-Acc 在本表统一记为 ABQ。
paper_reference,paper_qwen25_72b_medium,Qwen2.5-72B,paper baseline / reformat,medium,87,81.61%,86.73%,86.18%,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_paper_qwen25_72b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_paper_qwen25_72b_medium_evaluation_analysis.json,high,direct_report,论文/参考 baseline；Q-Acc 在本表统一记为 ABQ。
paper_reference,paper_qwen25_72b_hard,Qwen2.5-72B,paper baseline / reformat,hard,88,69.32%,79.36%,78.82%,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_paper_qwen25_72b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_paper_qwen25_72b_hard_evaluation_analysis.json,high,direct_report,论文/参考 baseline；Q-Acc 在本表统一记为 ABQ。
new_model_baseline,qwen35b_a3b_full,Qwen3.5-35B-A3B,baseline + reformat,full,257,86.38%,90.16%,90.35%,,,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen35b_a3b_full.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen35b_a3b_full_evaluation_analysis.json,high,direct_report,新模型 baseline；full raw 未在根目录找到，但 reformat/eval 完整。
new_model_baseline,qwen35b_a3b_easy,Qwen3.5-35B-A3B,baseline + reformat,easy,82,89.02%,90.24%,91.09%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen35b_a3b_easy.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen35b_a3b_easy.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen35b_a3b_easy_evaluation_analysis.json,high,direct_report,新模型 baseline；raw/reformat/eval 路径清楚。
new_model_baseline,qwen35b_a3b_medium,Qwen3.5-35B-A3B,baseline + reformat,medium,87,88.51%,91.71%,91.45%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen35b_a3b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen35b_a3b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen35b_a3b_medium_evaluation_analysis.json,high,direct_report,新模型 baseline；raw/reformat/eval 路径清楚。
new_model_baseline,qwen35b_a3b_hard,Qwen3.5-35B-A3B,baseline + reformat,hard,88,81.82%,88.54%,89.16%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen35b_a3b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen35b_a3b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen35b_a3b_hard_evaluation_analysis.json,high,direct_report,新模型 baseline；raw/reformat/eval 路径清楚。
new_model_baseline,qwen32b_full,Qwen3-32B / qwen32b,baseline + reformat,full,257,81.74%,86.21%,86.43%,,,,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen32b_full_latest_evaluation_analysis.json,medium,cautious_report,Qwen3-32B full latest；cost plan 使用此结果作 resource-aware baseline；未找到匹配 full raw/reformat 文件。
new_model_baseline,qwen32b_easy,Qwen3-32B / qwen32b,baseline + reformat,easy,82,91.46%,92.07%,92.08%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen32b_easy.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen32b_easy.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen32b_easy_evaluation_analysis.json,high,cautious_report,Qwen32B 分难度结果。
new_model_baseline,qwen32b_medium,Qwen3-32B / qwen32b,baseline + reformat,medium,86,83.72%,86.19%,86.00%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen32b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen32b_medium.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen32b_medium_evaluation_analysis.json,medium,internal_only,Qwen32B 分难度结果。 reformat 行数 86 与预期 87 不一致。
new_model_baseline,qwen32b_hard,Qwen3-32B / qwen32b,baseline + reformat,hard,64,66.13%,78.49%,82.99%,,evaluation/experimental_results/InfiAgent-Bench/results_qwen32b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_reformat_qwen32b_hard.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_reformat_qwen32b_hard_evaluation_analysis.json,medium,internal_only,Qwen32B 分难度结果。 reformat 行数 64 与预期 88 不一致。
other_baseline,datawise_qwen25_32b_full,Qwen2.5-32B-Instruct,baseline + reformat,full,257,81.71%,86.25%,87.06%,,evaluation/experimental_results/InfiAgent-Bench/results_datawise-Qwen2.5-32B-Instruct-temperature-0-args-7-6-8.jsonl,evaluation/experimental_results/InfiAgent-Bench/reformat/results_datawise-Qwen2.5-32B-Instruct-temperature-0-args-7-6-8.jsonl,evaluation/experimental_results/InfiAgent-Bench/eval_outputs/results_datawise-Qwen2.5-32B-Instruct-temperature-0-args-7-6-8_evaluation_analysis.json,medium,internal_only,额外旧模型 baseline；不在当前 PPT 主线中。
